Manutenzione Ordinaria (Tagliando) (Si/No),Campagna di richiamo/in garanzia (Si/No),Lavorazione per riparazione (Si/No),Raccomandabilità,Soluzione al primo tentativo,Accoglienza,Verifica tempistiche di prenotazione,Fornito Preventivo,Spiegazione lavori effettuati,10 a casa madre,Note cliente
Si,No,No,10,,10,10,Si,10,Si,Agli appassionati di moto BMW che la cambiano regolarmente senza aver fatto il cambio gomme propongo uno sconto maggiore. 👍👍👋👋
No,No,Si,10,No,10,10,Si,8,No,"Ho riscontrato il costo della riparazione un po' alto, in quanto si trattava di un aggiornamento e sostituire un sensore. Soddisfatto in quanto mi è stata data anche l'auto di cortesia senza nessun onere perché al momento del ritiro della mia autovettura"
Si,No,No,10,,10,10,No,8,Si,Ho rinnovato il contratto triennale per la manutenzione
Si,No,No,6,,10,10,No,4,No,"Per un tagliando di una Mercedes che era perfetta mi è sembrato esageratamente caro ed elevato come prezzo 800,00€ che faccendomi un sconto d’appartenenza del Direttore mi è rimasto in 698€ però ugualmente mi è sembrato elevato il prezzo.  Tutto qui."
Si,No,No,10,,10,10,Si,10,Si,"Rispetto all'ultima volta in occasione del cambio gomme le tempistiche si sono ridotte e l'organizzazione è stata migliore, mi avete anche contattato per il cambio gomme invernali e questo mi fa piacere perché il cliente oltre un servizio ottimo (siete Me"
No,No,No,4,,4,4,,10,No,Cambiate il sistema informativo o aumentate il personale in accettazione ii tempi di lavoro tecnico sono inferiori a quelli lunghissimi ed ingiustificati del lavoro amministrativo roba di 20 anni fa. Cambiate I processi dell'organizzazione ed i sistemi in
Si,No,No,8,,6,8,Si,4,No,Cifre troppo elevate per tagliandi ordinari
Si,No,No,10,,10,10,Si,10,Si,Ottima accoglienza e grande professionalità    Come sempre un piacere avere a che fare con la vostra officina
No,Si,No,6,,10,8,,9,No,"Il centralino non risponde quasi mai o con grande ritardo e non ha corrisposto le mie richieste, com’è emerso il giorno dell’appuntamento e dei lavori! Molto migliorabile!"
Si,No,No,10,,10,10,Si,10,Si,"Bravi ***, ***, *** ed tutti altri in officina. Dovete chiedere commenti sull prezzo"
Si,No,No,10,,10,10,No,10,Si,"Buongiorno, dal mio punto di vista ho sempre avuto le corrette risposte alle domande fatte. Nell'insieme è bel gruppo affidabile ed affiatato.Per quanto riguarda la mia auto ritengo che per alcuni aspetti pecca di alcune finiture anche esterne in plastica"
Si,No,No,6,,2,2,Si,2,No,Mi sono rivolta all autotorino di Novara per DUPLICATO CHIAVE AUTOMATICA della mia Yaris...sono dovuta andare 5 volte perché non riuscivano a farmi questo duplicato...alla fine sono riusciti ma mi hanno fatturato 26 euro in più rispetto al preventivo e la
No,No,Si,10,Si,10,10,Si,10,Si,Siete top un ringraziamento particolare a *** ***
Si,No,No,10,,10,10,Si,10,Si,Un grazie particolare al sig. *** sempre attento alle esigenze del cliente.
No,Si,No,10,,10,10,,10,Si,"Per quanto mi riguarda, tutto perfetto"
Si,No,No,10,,10,10,Si,10,Si,Buono il servizio e accoglienza
Si,No,No,4,,8,8,No,3,No,Dalla app mini si stimavano dei costi che da voi sono stati triplicati
No,No,Si,8,Si,9,8,Si,7,No,1) difficolta per ottenere appuntamento 2) costo troppo elevato per lavoro eseguito.
Si,No,No,10,,10,10,Si,10,Si,"Servizio perfetto, non c’é altro da dire. La cosa che preferisco peró é l’ambiente amichevole e sereno all’interno della concessionaria."
Si,No,No,8,,10,8,Si,8,No,costi più elevati rispetto al mercato
No,No,Si,8,Si,10,10,Si,10,No,Salve una nota negativa i tempi di attesa per parlare con il tecnico . Aspettare 30 45 minuti nella sala di aspetto ogni volta quando si prende un orario specifico mi sembra poco carino per qualunque cosa sia per tagliando che per riparazione .  Essere pi
Si,No,No,9,,10,9,Si,9,Si,"è difficile farsi ricontattare. servono numerosi tentativi al centralino, peraltro molto gentile, ma su 8/10 telefonate e richiesta di ricontatto, solo 2 volte è successo."
No,Si,No,9,,9,9,,9,Si,Questo questionario può andare bene Io meccanico specializzato con la professione acquisita in svizzera dopo la scuola professionale Non vorrei più lavorare nel settore ( dopo 40 anni ) perché mi sembra che i giovani fuggono da questo mestiere !!! In u
Si,No,No,10,,10,7,No,10,Si,Darei 10 per la cortesia e professionalità di ***!🔝
No,No,Si,10,No,10,10,No,10,Si,RICODIFICA CHIAVI IN QUANTO UNA RUBATA
No,Si,No,9,,9,9,,10,Si,Tutto  perfetto  nulla da recepire
Si,No,No,9,,9,9,No,9,No,Mi è  stato messo in fattura un kilometraghio sbagliato di 30000 kilometri in più. Sperò che non ci siano problemi con la garanzia. Sembra che ho portato a fare il tagliando non rispettando i kilometri dati dalla casa madre.
Si,No,No,10,,10,10,No,10,Si,Bravi puntuali e perfetti orgoglioso della bmw
No,Si,No,10,,10,10,,10,Si,Il miglior servizio che si possa desiderare. Bravi veramente
Si,Si,No,8,,10,10,Si,10,Si,Prezzo orario manodopera decisamente alto...
Si,No,No,4,,8,10,Si,4,No,Trovo che il costo di quasi 1000 euro per un tagliando standard più cambio pastiglie freno anteriore sia eccessivo. Lo dico comparando il costo che sostenevo per la medesimo servizio su una bmw320 presso la vostra concessionaria bmw di pordenone
No,No,Si,10,Si,10,10,Si,10,Si,"Vorrei ringraziare soprattutto *** *** e *** del magazzino, sono stati super gentili e disponibili"
Si,No,No,10,,10,10,Si,10,Si,"L’unico suggerimento è di controllare la scadenza dell’omaggio che date, per il resto mi sono trovato molto bene"
Si,No,No,9,,9,9,No,9,No,Manca auto di cortesia gratis. Prezzi non esattamente economici.
No,No,Si,9,Si,9,9,Si,9,Si,"Tutto perfetto,non c'è nulla da dire"
Si,No,No,10,,10,10,Si,10,Si,"Precisione nella rappresentazione dei costi da sostenere; puntualità nella consegna del mezzo, cortesia."
Si,No,No,9,,9,9,No,8,No,Accoglienza e tempi di lavorazione ineccepibili. Nota negativa: preventivo (richiesto in fase di appuntamento) nn inviato. Voce in fattura di 174€ priva di descrizione (solo un codice numerico). Dopo avere richiesto spiegazioni in merito e avuto risposta
Si,No,No,10,,10,10,No,10,No,Abbassate i costi
Si,No,No,10,,9,9,Si,9,-,"Già dall’accettazione la ragazza al desk (***) si è dimostrata super esaustiva ad ogni mia domanda e con molta professionalità ormai rara al giorno d’oggi, ha saputo come soddisfare un cliente che sicuramente tornerà presso questa sede per qualsiasi f"
Si,No,No,7,,5,9,Si,9,No,Tempi di attesa per accettazione e restituzione chiavi davvero molto lunghi. Lavoro e tempi di lavoro idonei e corretti
Si,No,No,9,,9,9,Si,9,Si,Buongiorno sarei disponibile a dare 10 se i costi che Toyota applica per i tagliandi fossero più allineati al mercato perché Audi e Kya ad es hanno prezzi decisamente più competitivi.
Si,No,No,9,,10,9,Si,10,Si,Disponibilità venditori
No,No,Si,6,No,10,10,Si,10,Si,Abbiamo aspettato 15 mesi per un paraurti che non è mai arrivato. Dopo 12 mesi all’ennesimoa richiesta ci è stato consigliato di ripararlo. È inaccettabile che una macchina uscita di produzione da neanche un anno (al momento del danno) non abbia più dispo
Si,No,No,10,,10,10,No,10,Si,Per ora nessuna criticità riscontrata nei vostri confronti:mi auguro che la cosa sia reciproca.
No,No,Si,10,Si,10,10,No,10,Si,Nessuna
No,Si,No,10,,10,10,,10,Si,Nn
Si,No,No,10,,10,10,Si,10,Si,la signora *** molto gentile ed efficiente
Si,No,No,10,,10,10,Si,10,Si,Ho trovato cordialità e competenza
Si,No,No,8,,8,8,Si,10,Si,.ok I
Si,No,No,10,,10,10,Si,10,Si,Tutto ok
Si,No,No,10,,10,10,Si,10,-,"Ho appena portato la mia BYD per il tagliando dei 30.000 km e devo dire che l’esperienza è andata ben oltre le aspettative. L’officina ha dimostrato professionalità e cura in ogni dettaglio: dall’accoglienza, al check completo dei sistemi elettrici, dei f"
No,No,Si,8,No,9,9,Si,9,No,Finalmente alla terza volta che porto la jeep sono riusciti riparare il guasto.
No,No,Si,10,Si,10,10,Si,10,Si,.
No,No,Si,9,Si,9,9,Si,9,Si,"Vorrei fare i complimenti ad *** per la correttezza, ed non ultimo tutto il team della officina"
Si,No,No,10,,10,9,Si,9,-,Personale gentile e competente
No,No,Si,1,No,1,1,No,9,No,Assistenza vergognosa. Tempi di intervento imbarazzanti. E il danno del paraurti della macchina sostitutiva da verificare.
Si,No,No,2,,8,3,Si,9,No,Anno 2024 acquisto tucson usata anno 2021. Anomalie verniciatura bicolore rumore anomalo zona distribuzione. Anomalie non risolte dopo ben 3 tagliandi. Sono stato trattato con insufficienza. Costo tagliando eccessivo. Personale poco formato. Ne modo più a
Si,No,No,10,,10,10,No,9,Si,Keep up the good work and vibes. Bravi.
No,Si,No,9,,9,9,,9,Si,Più che un suggerimento vorrei fare un ringraziamento particolare alla cordialità di *** in auto Torino presso concessionaria di Valmadrera.
Si,No,No,10,,10,10,Si,10,Si,I prossimi modelli Aygo dovranno avere maggiore visibilità posteriore. Agli incroci non si vedono le vetture provenienti da destra.occorre lavorare con difficoltà con l'orientamento degli specchietti laterali.
No,No,Si,10,No,10,10,Si,10,Si,"Per un problema di ""mappe"" sorto a Maggio 2025, i Sigg *** e *** della Autotreno *** hanno fatto il possibile per trovare delle soluzioni tecniche (gestione file di ripristino) e per trovare la soluzione defin"
No,No,Si,10,Si,10,10,Si,10,Si,nulla
No,No,Si,10,Si,10,10,Si,10,Si,Portato Smart per rifare chiave doppia. Pienamente soddisfatti sia per tempistiche per lavoro e cortesia del personale. Ottimo lo consiglierò e in futuro ricontatteremo per ulteriori bisogni.
Si,No,No,10,,10,10,Si,10,Si,Il servizio sarebbe impeccabile se oltre alla manutenzione fosse garantito il lavaggio dell'auto
Si,No,No,6,,4,6,Si,7,No,Il costo per il mio portafoglio è troppa cari grazie
No,No,Si,10,Si,10,10,Si,10,Si,"Il Sig. *** è stato disponile e gentile, ha subito individuato e risolto il problema. Professionalità ineccepibile! Complimenti!"
Si,Si,No,9,,10,9,No,9,No,Potreste aggiungere anche il lavaggio direttamente incluso nel primo tagliando
No,Si,No,10,,10,10,,10,Si,"Poco da suggerire in quanto trovo che,ancora una volta mi sono trovato benissimo"
Si,No,No,6,,10,8,Si,8,-,purtroppo alcuni problemi sulla macchina permangono sempre e non si risolvono
No,Si,No,10,,10,10,,10,Si,"Officina super. Specialmente nella persona del sig. *** molto disponibile e professionale, nella spiegazione dell’intervento eseguito."
Si,No,No,10,,10,10,No,3,Si,"Abbassare i costi. Per uno scooter spendere 369 euro,  è troppo."
No,Si,No,10,,10,10,,10,Si,Personale gentile e multo preparato. Siamo molto soddisfatti del lavoro fatto.
Si,No,No,10,,10,10,Si,10,Si,Personale molto competente e gentile.
Si,No,No,8,,10,10,Si,6,No,Costo delle lavorazioni eccessivo per un auto con più di 5 anni.
No,No,Si,10,Si,10,10,Si,10,Si,Però la prossima volta il lavaggio auto fatelo davvero!! ;) Indicato in fattura (senza costo)ma sporca era e più sporca l’ho ritirata!
Si,No,No,10,,10,10,Si,10,Si,X me autotorino lo considero competente in tutte le materie.
No,Si,Si,9,No,10,10,No,9,-,Sono ancora in attesa dei pezzi da sostituire da oltre due mesi e nessuna notizia ricevuta seppur abbia già sollecitato via mail la rete di assitenza
No,Si,Si,10,Si,9,9,Si,9,Si,Nulla da segnalare
Si,Si,No,10,,10,10,Si,10,Si,"Soddisfatta per quanto riguarda l’accettazione  da parte della Sig.ra *** ***,gentile,competente e chiara sia per il preventivo che per la tempistica dell’intervento. Nello specifico mi ha anche illustrato la possibilità di fare un acquisto per u"
Si,No,No,10,,10,10,Si,10,Si,Al ritiro erano presenti su tutto l esterno della vettura vetri compresi segni di colate di un qualche liquido anche se sull esterno della macchina non sono state fatte lavorazioni e nemmeno chiesti lavaggi.
Si,No,No,10,,10,10,Si,10,Si,Nessuno tutto ok
Si,No,No,10,,10,10,Si,10,Si,Personale gentilissimo ... da premiare ! Disponibili al massimo ☆☆☆
Si,No,No,10,,10,10,No,10,Si,"Serietà e professionalità della Filiale, come sempre."
Si,No,Si,9,Si,10,9,Si,10,Si,"Ho apprezzato la competenza, il rispetto dei tempi, la trasparenza sui prezzi, l'area di attesa per i clienti con presa elettrica, wifi, caffè gratuito."
No,No,Si,10,Si,10,10,Si,10,Si,"Un encomio e un ringraziamento alla signora ***: professionale, efficiente e competente! Fa il suo lavoro in maniera egregia e mi ha fatta sentire accolta nelle mie esigenze. Davvero complimenti a lei!!"
No,Si,No,10,,10,10,,10,-,Personale molto professionale e disponibile..
Si,No,No,7,,10,10,No,10,No,Il prezzo del tagliando davvero smisurato
Si,No,No,2,,4,4,Si,8,No,È una vergogna che  pagando in contanti  non hanno il resto  di 20 euro e che io cliente devo andare in giro a farmi cambiare i soldi !!! POVERA HYUNDAI
Si,No,No,8,,9,8,Si,9,No,"Siete da 8-9, non 10. Nulla di più."
No,No,Si,9,No,9,9,No,9,Si,Pretendere una maggiore attenzione della casa madre rispetto alle vostre richieste operative
Si,No,No,10,,10,10,No,8,Si,"Preventivo telefonico avente un importo, alla consegna decisamente tutt'altro"
Si,No,Si,10,Si,10,10,Si,9,Si,Cordialità all'accoglienza. Rispetto dei tempi preventivati. Spiegazione del lavoro e del controllo effettuato sull'auto
Si,No,No,10,,10,10,Si,10,Si,Ottimo trattamento da parte del personale!
Si,No,No,10,,10,10,Si,10,Si,Soddisfatto tutto bene trasparenti e puliti grazie
Si,No,No,10,,10,10,Si,10,Si,"Bravi tutti, ottima cortesia e accoglienza. Bello vedere tanta gioventù preparata"
Si,No,No,9,,9,9,Si,9,Si,Nessun commento continuate così
Si,No,Si,10,Si,10,10,Si,9,Si,"Buongiorno,come sempre  ribadisco che Autotorino è il Top!tra l’altro il coupon ricevuto mi ha fatto molto piacere.Mi devo scusare con lo Staff,il problema che pensavo non esisteva,ringrazio ancora dell’assistenza e professionalità. Cordiali saluti."
Si,No,No,10,,10,10,Si,10,Si,Era per il collaudo dopo i 4 anni. La Signora *** perfetta come al solito. Eccezzionale In fede *** *** ***
Si,No,No,10,,10,9,Si,10,Si,"Vorrei ringraziare in particolare la signora.ra ***, per la cortesia e disponibilità e la professionalità dimostrata! Il tagliando dell'auto é stato eseguito perfettamente, e non appena l'auto era pronta sono stato contattato subito da lei Per venire a"
Si,No,No,10,,10,10,Si,10,Si,Sono rimasto pienamente soddisfatto dell’accoglienza accettazione e per il lavoro svolto.
No,No,Si,10,Si,10,10,No,6,Si,Troppo caro il costo della riparazione
No,No,Si,10,Si,10,10,Si,10,Si,Ok tutto
Si,No,No,10,,10,10,Si,10,Si,"Gentili e disponibili,non puoi chiedere di più, continuate così,bravi"
No,No,Si,1,No,8,8,No,1,No,"L'autofficina non è all'altezza, meccanici / tecnici altamente incompetenti!"
No,No,Si,10,Si,10,10,Si,10,Si,Sono rimasto molto soddisfatto del lavoro svolto tempi rispettati cura della vettura un ringraziamento al sig *** dell'accoglienza che a coordinato tutto
Si,Si,No,10,,10,9,Si,9,-,Tutto perfetto
Si,No,No,10,,10,10,Si,10,Si,nulla da eccepire. Ottimo il ritiro anche di sabato
No,No,Si,1,No,2,1,No,1,No,Dopo aver pagato la fattura per la diagnosi - non mi e’ stata rilasciata nessuna diagnosi - ossia la macchina mi è’ stata restituta come l’ho portata . dopo vari tentativi insistenti telefonicamente mi hanno liquidato dandomi una diagnosi superficiale . S
No,Si,No,10,,10,10,,10,Si,Semplicemente impeccabili
No,No,Si,10,Si,10,10,Si,8,No,In linea di principio non mi piace che il questionario sia precompilato con il giudizio massimo e non trovo altrettanto corretto che un voto 4 su 5 venga evidenziato come “rosso” e come “NON soddisfatto”. Se volete una valutazione sincera per valutare l’o
No,No,Si,10,Si,10,10,Si,10,No,Scarsa informazione durata batteria per uso non continuo autoveicolo
No,No,Si,10,Si,10,10,Si,10,Si,nessuno
Si,No,No,10,,10,10,Si,10,Si,Gli operatori sono stati molto competenti e cordiali
Si,No,No,9,,9,9,No,7,Si,Avrei gradito sapere cosa avrebbe comportato a livello di intervento rispetto al tagliando al momento dell’accettazione. Inoltre sarebbe stato opportuno preventivamente comunicare la spesa prevista per l’intervento. Mi avrebbe fatto piacere che qualcuno
Si,No,No,10,,10,10,Si,10,Si,Tutto ok
No,No,Si,10,Si,10,10,Si,10,Si,Un ottimo servizio
No,Si,No,10,,10,10,,10,-,Ottima disponibilità per risoluzione problemi garanzia Ssangyong/KGM Korando.
No,Si,No,10,Si,10,10,Si,10,Si,Ok
Si,No,No,9,,9,10,Si,8,No,"Da anni faccio il tagliando a settembre, quest' anno sono emersi problemi che non mi aspettavo visto che in 12 mesi ho fatto solo 8000 km."
No,No,Si,10,Si,10,10,Si,10,Si,nessuno
No,Si,No,10,,10,10,,9,Si,"Dovrebbero dare tempi e informazioni sugli appuntamenti futuri, se tutto procede normalmente"
Si,No,Si,2,No,7,6,No,9,No,"Non raccontare storielle  ai clienti. Ho aspettato 14 mesi e dico 14 mesi per un bauletto, e se non chiamavo il BMW Italia chissà quando arrivava."
No,No,Si,6,No,9,6,Si,8,No,"Buogiorno,ho avuto un problema con la mia X1 dovuto a collisione con cordolo stradale,la riparazione comprendeva sostituzione 4 pneumatici,controllo cerchi in lega. tempi di attesa 12 giorni ,con l'impossibilità di contattare la persona che si occupava de"
No,No,Si,9,Si,9,9,No,9,No,Trovo assurdo che dopo aver sostituito la pila del telecomando questo si dissoci dall'auto. Questo fatto mi ha costretto ad andare dal concessionario e pagare € 30 per effettuare l'associazione.
Si,No,No,10,,10,10,Si,10,Si,Grazie mille per la vostra disponibilità e cortesia
No,No,Si,10,Si,10,10,No,9,Si,Ottimo servizio per la riparazione dei sensori. Completamente insulso il prezzo richiesto per 4 tappini di plastica del tetto
No,No,Si,1,No,2,9,No,5,No,"Maggiore attenzione al cliente. Mia moglie e mio figlio, presenti in sala d'attesa, non sono stati avvisati della fine dei lavori e sono stati abbandonati a loro stessi per due ore. Inaccettabile. Erronea descrizione nel sito ufficiale di un prodotto su"
No,Si,No,10,,10,10,,10,Si,Una nota di merito alle persone che rendono unica l’assistenza e l’accoglienza. *** che si è adoperato per soddisfare la mia richiesta di intervento in garanzia   *** che con il suo sorriso e la sua professionalità accoglie gli ospiti. Due person
Si,No,No,10,,10,10,No,10,Si,Trattamento eccellente
Si,No,No,10,,10,10,Si,10,Si,Miglioramento nei tempi di Accettazione sono leggermente troppo lunghi.
No,No,Si,1,No,1,5,Si,1,No,"Esperienza folle. Ho chiamato ripetutamente il callcenter per ottenere un appuntamento, rispiegando ogni volta il problema perché avete un CRM inefficace. Una volta preso l’appuntamento per i vuoti di accelerazione mi è stato detto che la ragione fosse l"
Si,No,No,9,,9,9,Si,9,Si,Sono bravissimi anche gentile grazie mille
Si,No,No,10,,10,10,No,10,Si,"Riguardo al preventivo, o messo no , perché è un tagliando e non ho chiesto io , x il costo so’ di aver preso una moto di classe , e la manutenzione la faccio fare solo a voi , e non come certi x risparmiare lo fanno con il loro “cuggino” scherzi a parte"
No,No,Si,7,Si,10,7,Si,10,No,"Avendo la macchina rotta, e dovendola usare per recarmi a cure mediche programmate, mi aspettavo di non dover dipendere da terzi per recarmici. Una decina di giorni per una simile riparazione mi ha causato molto disagio."
No,Si,No,9,,9,9,,9,Si,Sarebbe piacevole trovare un mezzo in sostituzione gratuita nelle attese di lavorazione almeno per chi arriva da lontano e non ha la possibilità di farsi accompagnare
Si,No,No,9,,9,9,Si,9,No,costi veramente troppo cari
Si,No,No,10,,10,10,Si,10,Si,Veloci e puntuali
Si,No,No,10,,10,10,Si,10,Si,Grazie per l’ottimo servizio e per la cortesia e disponibilità dell’accettazione di Lexus .
