Raccomandabilità,Accoglienza,Esperienza d'acquisto,Esperienza consegna,Opinione Miglioramento Servizio
10,10,10,10,"Gentilissimi, per come e stata curata la mia acquisizione della vettura, posso definire eccellente con grande professionalità garbo da parte del venditore/consulente tanta cordialità dalla reception. Insomma, credo che sia una accoglienza e cordialità che"
10,10,10,10,Nulla da segnalare
10,10,10,10,Tutto perfetto
9,7,8,8,Avvisare i clienti e non lasciarli in attesa di richiamare loro per avere informazioni. Ad oggi non sono stato ancora contattato per avere il libretto
10,9,10,10,Sono stati tutti gentili. Ringrazio molto *** *** e *** ***
10,10,10,10,Tutto molto bene
9,9,9,9,Nulla
2,5,2,2,Insoddisfatto di tutto
10,10,10,10,Tutto ok
7,6,9,4,Nn rispondono mai al telefono per qualsiasi necessità
9,9,9,9,Fare un po' di sconto ai clienti
9,9,9,9,Ok
10,10,10,10,"ho avuto l’occasione di conoscere *** ***, e ormai lo conosco da 2 annetti, e grazie a lui ho acquistato la mia seconda auto da voi. Penso che con lui avremo sempre il servizio migliore, è garantito."
9,9,10,10,"Il servizio pre vendita, in quanto, sono stato contattato dopo 5 giorni dal ritiro per comunicarmi che dovevo riportare l’auto in sede per fare effettuare il cambio olio motore, non avendolo fatto prima della consegna. Per fare ritornare i clienti ad effe"
10,10,10,10,Per la mia esperienza tutto perfetto. *** e *** della filiale di Susegana sono stati impeccabili. Grazie
10,9,10,10,"Ottimo servizio, pienamente soddisfatto. Vettura eccezionale in condizioni perfette."
9,9,10,10,Più soluzioni finanziarie
9,10,9,9,Niente
10,10,10,10,Nn
8,10,8,9,Gentilezza e disponibilità di alcuni venditori
5,6,7,2,"Buongiorno,potete migliorare intanto a essere più specifici nei dettagli dell'auto e più seri nel consegnare l'auto con più riguardo e più precisione,come parti da sistemare,e più cortesia nel rispondere alle domande quando ci sono problemi.Mi dispiace da"
10,10,10,10,"Il personale che ha gestito la vendita è stato molto preciso, puntuale e ha rispettato sempre quello che ha proposto e detto. In questi casi si apprezza molto che quello che si dice e si spiega se dimostri poi ai fatti vero, la trasparenza è fondamentale"
10,9,10,10,Niente perfetto così
9,10,10,9,"Dettagli non curati a dovere su alcune parti dell'auto, rumore fastidioso nella zona ammortizzatore posteriore destro, già comunicato al vostro personale vendita e per il quale sto attendendo chiamata da parte di un vostro addetto al servizio post vendita"
10,10,10,10,tutto perfetto
10,10,10,9,"Il servizio è stato ottimo e lamentarsi sarebbe una cattiveria . Lo renderei eccellente lavando con cura interno ed esterno dell'auto e facendo attenzione a l'odore di sigaretta. Vorrei precisare che non è una lamentela, la macchina era pulita ed in ordin"
10,10,10,10,Va bene così
9,9,9,9,Migliorie di controllo prima della consegna dell' auto
10,10,10,10,Potreste migliorare i tempi di consegna auto da una sede ad un altra
10,10,10,10,Migliorabile il parcheggio della concessionaria ***
10,10,10,10,Good
10,10,10,10,mi ritengo soddisfatto appieno alla mia prima esperienza con voi
2,5,9,2,"La rintracciabilità del personale, la cura della risposta alle domande e ai reclami del cliente"
9,9,9,10,NON HO SUGGERIMENTI
10,10,10,10,A FARE TRAPASSO PIU VELOCE
10,10,10,10,I tempi di consegna
9,9,10,10,"Buon giorno ..ho dato tutto 10 ma la sorpresa all'atto della consegna che non è garantita la garanzia kia dei 7 anni perchè il vecchio propietario non ha eseguito i tagliandi da concessionari autorizzati e quindi non reperibili , mi ha lasciato  un pò del"
10,10,10,10,"Sono vostro cliente da molti anni, ho comprato circa 11 auto in meno di 6 anni, mi sono sempre rivolto alla filiale di *** di cui ringrazio vivamente *** che mi ha seguito per tutti questi anni e continua a seguirmi,qui ho ri"
10,10,10,10,"Nulla io mi sono trovato bene, *** il venditore che mi a seguito è stato bravissimo!!"
10,10,10,10,m
9,9,9,9,Consegna più celere delle auto usate
10,10,10,10,Niente va più che bene così. Bravi *** e ***.
10,10,10,10,Il servizio è molto buono già così com'è
10,10,10,10,Per me va bene.  Grazie.
10,10,10,10,"Le persone con cui ho parlato sono tutte molto professionali, molto gentili e cortesi. Un servizio già al TOP."
10,10,10,10,Tutto ok grazie
6,9,7,9,"Dovreste mantenere quanto promesso alla stipula del contratto,  senza cancellare alcune delle opzioni offerte giustificandovi senza alcuna credibilità"
10,10,10,10,Va bene
10,10,10,10,"Sono anni che mi rivolgo a voi e posso dire solo di essere soddisfatta un particolare ringraziamento a ***, il venditore di ***"
2,9,2,9,"Dovete provare meglio le auto su strada prima di venderle ,dopo pochi km si sono accese 3 spie gialle,non è ammissibile una cosa del genere"
10,10,10,10,Nella consegna più chiarezza nelle spiegazioni di cosa bisogna fare e i documenti che servono
10,10,10,10,Nulla da consigliare tutto perfetto.
10,10,10,10,Servizio già  efficiente
9,9,9,9,solo una precisazione avendo acquistato un usato elettrico volkwagen ID.3 lo stesso necessitava richiami x sistemazioni al sistema operativo che ho appurato di persona e che hanno previsto il ricovero dell'auto in una officina del marchio per l'aggiorname
8,9,9,5,Controllo qualità ripristini
6,10,6,6,"Intanto consegnare auto almeno con 50 km di autonomia del carburante e non con 9 km di autonomia, inoltre la descrizione dell'auto in fase di contrattazione non è stata precisa e al ritiro veritiera per tutta una serie di opzional non presenti. Alla conse"
10,10,10,10,Non ho nulla da proporre servizio perfetto.
10,10,10,10,Sono rimasto soddisfatto
10,10,10,10,nessuno
10,10,10,10,niente da comunicare.
9,10,9,10,La soddisfazione del cliente a 360 gradi
10,10,10,10,Niente. Tutti i servizi sono stati perfetti
10,10,10,6,M
10,10,10,10,Francamente non saprei essendo gia' ottimale  nei servizi che mi avete prestato.
10,10,10,10,Sono pienamente soddisfatto.
1,1,1,1,in tutto partendo dal personale assolutamente non competente
6,9,4,3,"Buongiorno, ho da poco acquistato un auto presso di voi, ci sono alcune cose che non mi sono piaciute e mi aspettavo fossero diverse, mi piacerebbe condividerle con voi. Mi piacerebbe essere contattato, perché qui in questo spazio non riesco a scrivere tu"
1,10,3,9,3 settimane per il trasferimento dell'auto al mio rivenditore (***) sono decisamente eccessive e aspettare altre 2 settimane dal pagamento del saldo per il ritiro del veicolo sono un tempo inaccettabile.
9,9,9,9,Siate più celeri nel consegnare l’usato
10,10,10,10,tutto ok
9,10,9,8,"Devo dire che il vostro consulente è stato molto gentile ed accogliente, mentre per quanto riguarda il servizio quali date di consegna dell'auto e gli accessori dell'auto lasciano a desiderare."
9,10,9,9,"Accoglienza ottima,ma non sono rimasta soddisfatta al 100% nella consegna dell'auto. Al rientro a casa mi sono accorta che il fanale posteriore aveva un ammaccatura nella parte superiore. Mi è stato risposto, avrà preso un sasso. Il segno non corrisponde"
9,10,10,9,Nulla da dire
10,10,10,10,"Nessun consiglio, il servizio è ottimo"
5,10,5,5,"Nonostante la gentilezza del personale e' stato un acquisto difficilissimo. Il venditore e' andato in ferie senza passare il lavoro ad un altro venditore ma delegando a chi si occupa delle consegne. Da li in poi, attraverso varie peripezie ho avuto l'auto"
9,10,10,9,La consegna mei tempi stabiliti
1,6,1,1,Da migliorare le consegne ad oggi ancora mi deve essere consegnata la mia auto usata Cupra Formentor Vz non acquisterò mai più da voi
10,10,10,10,"*** è stato magnifico in tutto. consiglio il venditore a qualsiasi altra persona, sono stato a volte antipatico nelle richieste, ma lui è stato tranquillo  e sempre gentile. ( ho testato i suoi nervi) grazie mille."
9,5,1,9,"I venditori specialmente quello che mi ha seguito dovrebbero mantenere la parola data , xche loro guadagnato  grazie a noi , dopo questa avventura non verrò più ad autorino"
10,10,9,10,Niente servizi ottimi
10,10,10,10,niente di piu'. saluti ***
8,9,5,9,Io ho già acquistato una volta un auto da voi per l'esattezza dieci anni fa e come dieci anni fa per avere l'esito positivo del finanziamento passano tre settimane cose che oggi nel giro di 2/3 ore uno lo deve sapere. Quando ci si siede con un consulente
10,9,9,9,Maggior parcheggi
10,10,10,10,"Allo ok , i recommanded at 100 %"
9,9,9,10,+ Bravissima e molto cortese *** - vettura consegnata sporca all’interno - alcuni piccoli danni alla carrozzeria non mi erano stati comunicati prima dell’acquisto
10,10,10,10,"Servizio impeccabile! Come spesso accade sono le persone a fare la differenza e mi sento di segnalare la Professionalità di tutto lo staff, il venditore ***, la gent.ma sig.a ***, *** alla consegna e un doveroso ringraziamento in particolare al"
10,10,10,10,Va bene così
9,10,10,9,"Tutto ok Molto contento del servizio offerto dal venditore *** della sede di Roma Ovest. Gentilissimo, preparato nelle spiegazioni sulla mia GLB e disponibile come pochi. Davvero grazie ***"
10,9,9,10,Magari informandosi di più nell'interesse del potenziale cliente di che moto sia interessato spiegando i vari pacchetti di cui la moto è equipaggiata e spiegando le varie funzioni
1,5,1,1,Buongiorno per quello che vi posso dire che mi avete venduto un auto con spie al motore accese con problemi di carrozzeria il giorno stesso che lo ritirata sono dovuto andare il Opel pietoso applicherò SODISFATTI RIMBORSATI e questa auto era la seconda ch
1,2,2,8,La sincerita
9,9,9,10,Mi ritengo soddisfatto per la disponibilità degli incaricati alla vendita e l'organizzazione del personale addetto alle pratiche di consegna.
9,9,9,9,"Meno freddezza e meno distacco alla consegna. Un po’ troppo burocratico. Non ho avuto la sensazione di accoglienza che (a mio avviso) meriterebbe un acquisto Mercedes di livello. In più, la macchina non mi è sembrata preparata al meglio per la consegna. S"
10,10,10,10,Nulla
10,10,10,10,Tutto molto bene grazie
2,2,2,2,Tutto macchina accidentata non riparata al meglio da carrozzeria purtroppo tagliando non eseguito il giorno della consegna mi dà mancante 20 giorni per fare il tagliando purtroppo Quindi non è stato fatto il tagliando anche sono cliente fedele perché nel
10,10,10,10,Nulla
